method,estimate,std_error,ci_low,ci_high,p_value,n
"OLS, unadjusted",0.0355159666182628,0.010299314117215033,0.015329681883056393,0.055702251353469207,0.0005639563923603606,148
"OLS, back-door adjusted",0.04439832161873061,0.008305931180304963,0.028118995647264625,0.0606776475901966,9.022976543818799e-08,148
Double ML (partialling out),0.034734510092045756,0.008366205266910542,0.018336747768901093,0.051132272415190416,3.2992234603655484e-05,148
"IPW (median split, per point)",0.02712938559903616,0.01772602923270865,-0.007613631697072791,0.06187240289514511,0.1258972293927069,148
